"","Ctenophthalmus.arvalis","Mesopsylla.hebes","Pectinoctenus.pavlovskii","Frontopsylla.elata","Citellophilus.tesquorum","Callopsylla.caspia","Neopsylla.pleskei","Amphipsylla.primaris","Pectinoctenus.nemorosa","Amphipsylla.rossica","Megabothris.walkeri","Leptopsylla.segnis","Ophthalmopsylla.volgensis"
"Lagurus lagurus",73,0,0,0,5,0,8,0,0,0,0,0,0
"Allactaga major",0,80,0,0,0,0,0,0,0,0,0,0,0
"Allocricetulus eversmanni",13,0,30,0,12,0,7,0,0,0,0,0,0
"Alticola strelzowi",0,0,0,3,0,20,0,7,0,0,0,0,0
"Spermophilus erythrogenys",18,0,0,0,4,0,2,2,0,2,0,0,0
"Clethrionomys rutilus",2,0,0,22,0,0,0,0,0,0,0,0,0
"Cricetulus barabensis",0,0,20,0,0,0,0,0,0,0,0,0,0
"Microtus oeconomus",3,0,0,0,2,0,2,0,0,0,0,0,0
"Apodemus uralensis",0,0,0,0,0,0,0,0,6,0,0,0,0
"Microtus arvalis",2,0,0,0,0,0,0,0,0,2,2,0,0
"Apodemus agrarius",0,0,0,0,0,0,0,0,0,0,2,2,0
"Sicista subtilis",2,0,0,0,2,0,0,0,0,0,0,0,0
"Allactaga sibirica",0,0,0,0,0,0,0,0,0,0,0,0,2
"Microtus gregalis",0,0,0,2,0,0,0,0,0,0,0,0,0
