"","Erithacus_rubecula","Turdus_merula","Poecile_montanus","Poecile_palustris","Sylvia_atricapilla","Sylvia_borin","Sylvia_communis","Sylvia_curruca","Turdus_philomelos","Corvus_corone","Pica_pica","Picus_viridus","Sturnus_vulgaris","Turdus_iliacus","Turdus_viscivorus","Columba_palumbus","Cyanistes_caeruleus","Turdus_pilaris","Parus_major","Turdus_torquatus","Pyrrhula_pyrrhula","Fringilla_coelebs","Garrulus_glandarius","Carduelis_chloris","Gallinula_chloropus","Muscicapa_striata","Streptopelia_decaocto","Fringilla_montifringilla"
"Arum_maculatum",8,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bryonia_dioica",1,15,1,5,31,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cornus_sanguinea",53,72,0,0,9,0,0,0,58,2,13,4,1976,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crataegus_spp.",19,1559,0,0,0,0,0,0,113,0,0,0,198,536,147,96,0,990,0,0,0,0,0,0,0,0,0,0
"Euonymus_europaeus",130,94,0,0,36,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hedera_helix",76,867,0,0,126,0,0,0,379,0,0,0,279,168,119,476,0,110,0,12,0,0,0,0,0,0,0,0
"Ilex_aquifolium",15,612,0,0,45,0,0,0,57,0,0,0,0,582,370,32,0,84,0,0,0,0,0,0,0,0,0,0
"Juniperus_communis",1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ligustrum_vulgare",19,110,0,0,8,0,0,0,12,0,1,0,0,7,5,4,0,3,0,0,48,0,0,0,0,0,0,0
"Lonicera_caprifolium",6,78,0,0,38,0,0,9,11,0,0,0,14,0,0,0,3,0,0,0,65,0,0,0,0,0,0,0
"Lonicera_periclymenum",18,20,0,9,0,0,0,0,2,0,0,0,1,0,0,0,8,0,0,0,52,0,0,0,0,0,0,0
"Malus_sylvestris",0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,17,0,0,0,0,0,0
"Prunus_avium",0,394,0,0,3,1,0,0,48,8,4,0,67,0,40,9,0,0,0,0,0,0,7,0,0,0,0,0
"Prunus_padus",11,89,0,0,9,5,0,0,21,0,2,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prunus_spinosa",21,268,0,0,0,0,0,0,310,17,1,0,18,60,53,0,0,33,0,0,0,0,0,0,0,0,0,0
"Rhamnus_cathartica",3,228,0,0,9,0,0,0,37,0,0,0,90,132,41,0,0,11,0,0,50,0,0,0,0,0,0,0
"Ribes_rubrum",3,9,0,0,17,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rosa_canina",1,603,0,0,2,0,0,0,7,0,0,0,0,4,12,15,0,431,0,0,0,0,0,22,0,0,0,0
"Rubus_fruticosus",26,138,0,0,5,2,2,3,5,0,0,0,335,0,0,0,30,0,0,0,7,0,0,5,5,0,0,0
"Rubus_idaeus",3,5,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sambucus_nigra",100,169,0,2,108,15,3,12,187,1,19,0,722,1,4,55,126,1,1,0,29,0,3,0,1,4,2,0
"Solanum_dulcamara",14,26,0,0,41,0,0,0,20,0,0,0,6,0,0,1,1,0,0,0,13,0,0,0,0,3,0,0
"Sorbus_aria",2,257,0,0,3,0,0,0,36,24,27,0,11,170,69,18,0,3,2,0,97,55,7,53,0,0,0,21
"Sorbus_aucuparia",7,505,0,0,12,1,0,3,22,0,3,0,63,0,32,0,0,0,0,0,105,0,1,0,0,0,0,0
"Tamus_communis",3,26,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Taxus_baccata",26,480,0,0,4,0,0,0,510,0,0,0,837,55,233,0,0,0,7,3,0,0,0,211,0,0,0,0
"Viburnum_lantana",28,40,0,0,25,3,0,7,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Viburnum_opulus",3,14,0,0,1,0,0,0,95,0,0,0,0,1,4,0,0,0,0,0,57,0,0,0,0,0,0,0
"Viscum_album",3,4,0,0,1,0,0,0,2,0,0,0,0,1,251,0,0,0,0,0,0,0,0,0,0,0,0,0
